District,Area,Type,Good,Electricity,Television,Owned,Rented
Bhojpur,Dhandiha,Rural,38.8,49.3,46.3,100,0
Bhojpur,Farhangpur,Rural,67.3,25.7,24.3,99.1,0.5
Bhojpur,Narhi,Rural,24.4,20,26.5,97.3,0.4
Bhojpur,Narbirpur,Rural,41.1,16.6,36.2,98.3,1.6
Bhojpur,Bahiyara,Rural,33.2,50.2,34,97,2.8
Bhojpur,Chandi,Rural,36.2,31.7,32.6,97.6,2.1
Bhojpur,Khangaon,Rural,40.9,6.3,19.3,98.3,0.6
Bhojpur,Guri,Rural,13.3,2.4,15.7,99.4,0
Bhojpur,Manpur,Rural,56.9,19,10.3,91.4,6.9
Bhojpur,Kusihan,Rural,34.8,2.2,2.2,98.6,0
Bhojpur,Gopalpur,Rural,44,0.7,7.9,99.7,0.3
Bhojpur,Lodipur,Rural,75.5,1.9,26.8,98.5,1.5
Bhojpur,Jalpura,Rural,42,2.6,17.7,99.7,0.1
Bhojpur,Bhagwatpur,Rural,81.1,16.1,17.9,100,0
Bhojpur,Bishunpur,Rural,28.9,4,30.6,96,3.5
Bhojpur,Sundra,Rural,32.8,0,10.8,99,0
Bhojpur,Jahanpur,Rural,26.1,0.4,10,99.6,0
Bhojpur,Jogta,Rural,35.1,0.9,12.1,99.8,0
Bhojpur,Gyanpur,Rural,32.8,13.4,8.2,99.7,0.3
Bhojpur,Koilwar (NP),Urban,36.8,50.2,36.3,84.9,7.8
Bhojpur,Koilwar (NP) - Ward No.1,Urban,30.8,24.4,18.6,98.7,0.6
Bhojpur,Koilwar (NP) - Ward No.2,Urban,16.7,75.8,54.2,66.7,32.5
Bhojpur,Koilwar (NP) - Ward No.3,Urban,23.5,70.5,56.6,99.4,0.6
Bhojpur,Koilwar (NP) - Ward No.4,Urban,25.1,29.7,26.9,98.3,0.6
Bhojpur,Koilwar (NP) - Ward No.5,Urban,50.7,46.5,36.6,97.2,0
Bhojpur,Koilwar (NP) - Ward No.6,Urban,60.5,76.2,43.6,95.3,2.9
Bhojpur,Koilwar (NP) - Ward No.7,Urban,46.2,67.5,46.9,98.1,1.9
Bhojpur,Koilwar (NP) - Ward No.8,Urban,38,50.2,49.4,92.8,4.6
Bhojpur,Koilwar (NP) - Ward No.9,Urban,43.6,70.7,54.8,66,28.7
Bhojpur,Koilwar (NP) - Ward No.10,Urban,62.4,79.3,56.6,83.8,13.8
Bhojpur,Koilwar (NP) - Ward No.11,Urban,35.2,39.8,19,91.5,7.4
Bhojpur,Koilwar (NP) - Ward No.12,Urban,27.1,31.2,17.6,86.5,6.5
Bhojpur,Koilwar (NP) - Ward No.13,Urban,39.1,49.3,33.8,82.2,8.9
Bhojpur,Koilwar (NP) - Ward No.14,Urban,7.6,8,9.6,43,2.8
Bhojpur,Sub-Dist - Piro,Total,36.7,6.1,15.3,97.1,2.5
Bhojpur,Sub-Dist - Piro,Rural,35.7,4,12.8,98.5,1.1
Bhojpur,Sub-Dist - Piro,Urban,43.6,20.4,32.6,87.6,11.5
Bhojpur,Lohain,Rural,59.6,0.3,6.1,98.7,0
Bhojpur,Newari,Rural,35.5,7.4,13.2,100,0
Bhojpur,Khairahin,Rural,56.4,0.9,4.5,100,0
Bhojpur,Kheri Kon,Rural,47.3,1.9,12.8,98.8,0.4
Bhojpur,Pharaura,Rural,45.1,0.4,3.1,99.6,0
Bhojpur,Karauniya,Rural,19.9,0.7,13,98.6,1.4
Bhojpur,Ear,Rural,24.5,0.6,7.9,95.9,4.1
Bhojpur,Kukrahan,Rural,33.3,0.8,51.2,97.6,0
Bhojpur,Waina,Rural,37.9,0.6,9,97.6,2.4
Bhojpur,Danwarua,Rural,52.1,0.8,10.7,98.8,1.2
Bhojpur,Tar,Rural,45,1.5,6.5,99.3,0.5
Bhojpur,Jamuaon,Rural,41.5,5,11.4,99.1,0.6
Bhojpur,Saneya,Rural,52.7,1.2,10.6,98.8,0
Bhojpur,Bamhawar,Rural,14.2,0.6,12.8,98.9,0.7
Bhojpur,Chaubepur,Rural,63.8,0,15.6,100,0
Bhojpur,Marohi,Rural,92.3,0,5.1,100,0
Bhojpur,Chhaurahi Jangal Mahal,Rural,20.5,4.1,12.2,99.7,0.2
Bhojpur,Keshwa,Rural,23.5,13.8,10.7,99.6,0.2
Bhojpur,Haswa Dehri,Rural,23.6,5.4,3.5,97.3,2.3
Bhojpur,Rajapur,Rural,19.4,0,8.1,100,0
Bhojpur,Akrua,Rural,27,3.1,8.5,97.1,2.9
Bhojpur,Kaser,Rural,37.7,0,16.9,98.5,1.5
Bhojpur,Barao,Rural,27.3,1.1,14.1,99,0.3
Bhojpur,Hat Pokhar,Rural,60.1,13.8,18.8,98.2,1.4
Bhojpur,Jitaura Jangal Mahal,Rural,36,1.2,16,97.8,1.9
Bhojpur,Rajeyan,Rural,37.7,14.3,19.3,99.2,0.3
Bhojpur,Baseya,Rural,53.6,1.3,14.6,97,2
Bhojpur,Mahwari,Rural,36.7,0,7.2,98.9,1.1
Bhojpur,Doman Dehra,Rural,29,0,10.1,98.9,0
Bhojpur,Khambha Dih,Rural,28.9,0,3.9,98.7,1.3
Bhojpur,Puraini Buzurg,Rural,26.8,1.8,28.6,100,0
Bhojpur,Puraini Khurd,Rural,0,0,0,100,0
Bhojpur,Pitro,Rural,11.2,1.1,7,99.2,0.4
Bhojpur,Khandani,Rural,22.2,0.3,9,100,0
Bhojpur,Khandani Khurd,Rural,35.2,0.5,11.4,97.1,0
Bhojpur,Angra,Rural,28.6,0.5,2.6,99.7,0
Bhojpur,Pitat,Rural,25.4,0,7.7,99.4,0.6
Bhojpur,Kothua,Rural,18.2,1,5.6,99,1
Bhojpur,Dhanpura,Rural,22.3,0,5.3,98.8,0.8
Bhojpur,Birpur,Rural,23.7,0,0,99.1,0.9
Bhojpur,Salakhna,Rural,20.4,0,1.1,96.8,0
Bhojpur,Mahuari,Rural,8.2,4.7,1.8,94.2,0
Bhojpur,Kewatia,Rural,36.3,0,5.6,99.1,0
Bhojpur,Basdiha,Rural,18.7,0,3.8,100,0
Bhojpur,Amehta,Rural,28.3,0.8,6,99.2,0.6
Bhojpur,Lahthan,Rural,48.9,5.9,14.3,98.5,1.2
Bhojpur,Anuwan,Rural,26,0,1,100,0
Bhojpur,Telar,Rural,38.6,12.9,16.5,100,0
Bhojpur,Agiaon,Rural,27.3,1.4,13,98.4,1.5
Bhojpur,Baraura,Rural,8.6,0,5.7,100,0
Bhojpur,Narhi,Rural,12.8,0,14.1,98.7,0.7
Bhojpur,Narayanpur,Rural,0.5,0,13.3,100,0
Bhojpur,Dihri,Rural,6.9,0,2.5,97.5,1.9
Bhojpur,Baghaunr,Rural,51.4,0,3.8,96.7,3.3
Bhojpur,Sugibal,Rural,5.8,0,0,100,0
Bhojpur,Mothi,Rural,57.5,0.9,16.7,99.5,0
Bhojpur,Mothibal Jangal Mahal,Rural,44.2,1.9,1.9,100,0
Bhojpur,Jagdishpur Patak,Rural,7.1,0,4.4,100,0
Bhojpur,Naek Tola Jangal Mahal,Rural,13.5,6.3,8.2,94.6,4.5
Bhojpur,Barauli,Rural,56.4,0,11.9,99.1,0
Bhojpur,Tewari Dih,Rural,69.5,41.6,22.7,100,0
Bhojpur,Rangal Tola Jangal Mahal,Rural,50.5,0.9,6.5,99.1,0
Bhojpur,Sukhrauli,Rural,27.8,2.7,22.4,100,0
Bhojpur,Jagdeopur,Rural,10.3,0,0,100,0
Bhojpur,Gogsand,Rural,12.9,1.4,8.6,95.7,3.6
Bhojpur,Kataria,Rural,26,0.3,11.4,99.7,0.2
Bhojpur,Basmanpur,Rural,72.8,0.8,7.1,100,0
Bhojpur,Amai,Rural,22.7,17.3,12.4,99.7,0.2
Bhojpur,Tetar Dih,Rural,67.4,0.8,28.3,99.2,0.8
Bhojpur,Sahejani,Rural,35.3,3.4,15.3,96,2.7
Bhojpur,Rasauli,Rural,23.9,24.3,36.4,99.6,0
Bhojpur,Jamunipur,Rural,13.8,3.1,9.2,100,0
Bhojpur,Indarpatpur,Rural,7.9,0,0,100,0
Bhojpur,Chhechhu Dih,Rural,32.8,0,15.6,100,0
Bhojpur,Moti Dih,Rural,0,0,3.9,97.4,0
Bhojpur,Pachrukhia,Rural,17.2,7.7,20.5,100,0
Bhojpur,Kachnath,Rural,17.5,1,15.5,100,0
Bhojpur,Udan Dih,Rural,84.9,0,4.7,100,0
Bhojpur,Ujjain Dehra,Rural,95.2,0,4.8,98.8,1.2
Bhojpur,Lohrabad,Rural,55.6,35.4,39.9,100,0
Bhojpur,Deochanda,Rural,76,1,30.6,99,0
Bhojpur,Tilath,Rural,30.9,0,12.8,100,0
Bhojpur,Jaisingh Dih,Rural,28.1,0,1.4,100,0
Bhojpur,Manaini,Rural,49,2,55.1,100,0
Bhojpur,Tiwari Dih,Rural,36.6,1.6,5.8,99.2,0
Bhojpur,Itamba Ganesh,Rural,80.6,0.7,15.7,93.3,6
Bhojpur,Chilbilia,Rural,29.4,2.1,16.1,100,0
Bhojpur,Bachri,Rural,76.2,0.2,35.7,100,0
Bhojpur,Bharsar,Rural,33.2,10.9,7,96.5,3.3
Bhojpur,Gobind Dih,Rural,94.7,0,8,99.5,0
Bhojpur,Nonar,Rural,46.4,1.9,9.4,99.7,0.1
Bhojpur,Baisa Dih,Rural,19.7,1.1,8.8,98.9,0
Bhojpur,Pachman,Rural,32.5,3.4,6.6,97.9,1.8
Bhojpur,Katar,Rural,40.4,13.2,26.4,94.5,4.7
Bhojpur,Garahatha,Rural,64.8,7.8,16.2,100,0
Bhojpur,Narayanpur,Rural,46.4,5.3,15.2,98.7,0.5
Bhojpur,Jamaurahi,Rural,76.8,0.3,2.2,100,0
Bhojpur,Bhulkua,Rural,68.6,1.3,8.4,98.3,1.3
Bhojpur,Kachhuhi,Rural,35.9,0,10.9,98.4,0.8
Bhojpur,Dhan Pokhar,Rural,48.7,0,1.7,100,0
Bhojpur,Piro (NP),Urban,43.6,20.4,32.6,87.6,11.5
Bhojpur,Piro (NP) - Ward No.1,Urban,59.2,11,12,100,0
Bhojpur,Piro (NP) - Ward No.2,Urban,68.9,50,52.7,63.3,36.4
Bhojpur,Piro (NP) - Ward No.3,Urban,63.2,46.4,51.2,83.8,15.8
Bhojpur,Piro (NP) - Ward No.4,Urban,32.3,0,38.4,86.4,13.1
Bhojpur,Piro (NP) - Ward No.5,Urban,44.2,4.8,37,82.2,13.5
Bhojpur,Piro (NP) - Ward No.6,Urban,64.8,32.1,36.8,95.3,3.6
Bhojpur,Piro (NP) - Ward No.7,Urban,39.2,4.5,24.4,95.5,4.5
Bhojpur,Piro (NP) - Ward No.8,Urban,49.9,35.4,33.7,84.7,13.8
Bhojpur,Piro (NP) - Ward No.9,Urban,75.7,49.1,38.9,66.8,32.7
Bhojpur,Piro (NP) - Ward No.10,Urban,32.2,9.8,56.8,82.7,14.7
Bhojpur,Piro (NP) - Ward No.11,Urban,47.1,43.9,42.6,79.4,20
Bhojpur,Piro (NP) - Ward No.12,Urban,45.1,17.8,39.5,85.3,14
Bhojpur,Piro (NP) - Ward No.13,Urban,28.4,1.2,17.3,97.1,2.6
Bhojpur,Piro (NP) - Ward No.14,Urban,38.1,16.1,24.8,96.3,2.3
Bhojpur,Piro (NP) - Ward No.15,Urban,37.3,5.1,24.2,96.6,3
Bhojpur,Piro (NP) - Ward No.16,Urban,15.1,17.4,14.2,96,3.7
Bhojpur,Piro (NP) - Ward No.17,Urban,20.2,2.5,8.3,98.2,0.9
Bhojpur,Sub-Dist - Sahar,Total,33.8,1.4,9.7,98.5,0.7
Bhojpur,Sub-Dist - Sahar,Rural,33.8,1.4,9.7,98.5,0.7
Bhojpur,Bajrean,Rural,41.2,1.4,13.7,100,0
Bhojpur,Bishunpura,Rural,2.2,4.4,7.8,97.8,1.1
Bhojpur,Baruhi,Rural,5.7,1.1,6.8,99.4,0.2
Bhojpur,Ekwari,Rural,22.8,1.6,8.8,99.1,0.1
Bhojpur,Inurkhi,Rural,53.4,0.8,19,100,0
Bhojpur,Kunrwa,Rural,17.4,4.3,30.4,94.2,5.8
Bhojpur,Newada,Rural,21.8,1.3,9.7,95.6,4.4
Bhojpur,Bansi Dehri,Rural,4.8,0.9,2.4,99.7,0
Bhojpur,Dehri,Rural,11.1,0.7,2.7,100,0
Bhojpur,Peur,Rural,41.8,3.5,5.5,99,0.8
Bhojpur,Sahar,Rural,41.8,0.5,14.6,96,3.2
Bhojpur,Abgilla,Rural,35.1,1.3,12.4,95.2,2
Bhojpur,Mathurapur,Rural,75.2,3.1,1.9,99.6,0.4
Bhojpur,Patrihan,Rural,31.9,1.6,28.7,97.2,0
Bhojpur,Shiw Chak,Rural,31.5,0,5.3,99.5,0.2
Bhojpur,Anuwa,Rural,29.3,1.1,3.7,96.9,0
Bhojpur,Gulzarpur,Rural,30.1,1.4,7.5,99,0.1
Bhojpur,Karbasin,Rural,44.9,0.6,9,97.3,0.9
Bhojpur,Khaira,Rural,50.7,0,16.3,98.6,1.4
Bhojpur,Perhap,Rural,33.6,0.6,7.1,95.7,1
Bhojpur,Hatimganj,Rural,8.3,0,4.2,99,0
Bhojpur,Dhauri,Rural,34.1,2.2,15.5,99.1,0.9
Bhojpur,Kharaon Chaturbhuj,Rural,32.6,4.1,16.6,100,0
Bhojpur,Sakhuana,Rural,39.9,0.7,25.7,100,0
Bhojpur,Chak Chaudhari,Rural,39.3,2.2,3.3,96.4,1.9
Bhojpur,Kanpahari,Rural,81.6,0,4.6,96.6,3.4
Bhojpur,Amruhan,Rural,39.8,1.2,9,98.8,0.3
Bhojpur,Kusiar,Rural,52,0,7.6,98.8,0.4
Bhojpur,Purhara,Rural,44.7,0.3,3.7,98.3,0.6
Bhojpur,Nima,Rural,8.6,0,16.4,100,0
Bhojpur,Koriar,Rural,46.1,5.4,16.2,99.4,0
Bhojpur,Bagaunti,Rural,87.5,0,5.6,98.8,0
Bhojpur,Bahuara,Rural,24.5,0,7,99.2,0.8
Bhojpur,Koni,Rural,96.5,0,0,100,0
Bhojpur,Chauri,Rural,30.2,0.2,15.2,98.6,0.7
Bhojpur,Mahabirganj,Rural,0,0,0,100,0
Bhojpur,Janpuria,Rural,46.6,1.9,0,99,1
Bhojpur,Kaul Dehri,Rural,53,1.5,13.8,99.4,0.1
Bhojpur,Dhanchhuhan,Rural,57.9,2.5,8.9,96.2,3.3
Bhojpur,Patarpura,Rural,60.2,2,3.1,99.5,0.5
Bhojpur,Chhatarpura,Rural,53.5,0.4,10.5,98.2,0.4
Bhojpur,Kharaon Buzurg,Rural,17.9,1,8.9,99.6,0
Bhojpur,Lodipur,Rural,5.1,0,11.6,100,0
Bhojpur,Fatehpur,Rural,37.8,0.9,12.2,100,0
Bhojpur,Dharampur,Rural,18,7.3,21.5,98,1.5
Bhojpur,Athpa,Rural,7.6,0,9.2,100,0
Bhojpur,Ojhaulia,Rural,28.3,18.5,11,100,0
Bhojpur,Andhari,Rural,26.2,0.9,11.7,99.7,0.2
Bhojpur,Harpur,Rural,6.5,0,0,100,0
Bhojpur,Bhopatpur,Rural,80,0,0,100,0
Bhojpur,Janaidih,Rural,5.5,0,1.1,97.8,1.1
Bhojpur,Sub-Dist - Sandesh,Total,35.6,3,18,98.5,0.6
Bhojpur,Sub-Dist - Sandesh,Rural,35.6,3,18,98.5,0.6
Bhojpur,Sarimpur Bachri,Rural,29.6,0.5,16.7,93,1.1
Bhojpur,Lodipur,Rural,29.4,0,17.6,100,0
Bhojpur,Narainpur,Rural,25.3,0.7,43.7,98.9,0.7
Bhojpur,Nansagar,Rural,22.6,0,37.7,100,0
Bhojpur,Nasratpur,Rural,59.8,0.3,30.7,99.8,0
Bhojpur,Chilhauns,Rural,26.5,11.9,21.4,100,0
Bhojpur,Turkaul,Rural,32.7,1.2,11.1,99.1,0.3
Bhojpur,Jansara,Rural,45.5,0,23.2,100,0
Bhojpur,Ahpura,Rural,55.8,25.8,31.9,99.6,0
Bhojpur,Salempur,Rural,91.4,0,0.7,100,0
Bhojpur,Sandesh,Rural,50.8,11.8,30.5,90.6,4.9
Bhojpur,Panpura,Rural,33.3,0,31.5,100,0
Bhojpur,Kanharpur,Rural,33.8,0,13,100,0
Bhojpur,Chela,Rural,12,2.1,12.2,99.5,0.3
Bhojpur,Panrepur,Rural,15.8,0,2.1,98.9,1.1
Bhojpur,Basauri,Rural,71.8,0,18.3,95.8,2.8
Bhojpur,Dihra,Rural,24.4,0.2,10.7,99.8,0.2
Bhojpur,Maniach,Rural,38.2,1,19.3,99.3,0
Bhojpur,Bichhiaon,Rural,52.5,0.2,16.5,98.5,1.3
Bhojpur,Dharampur,Rural,33.2,0.6,14.6,99.7,0
Bhojpur,Surungapur,Rural,54.4,0.4,29.7,99.2,0.8
Bhojpur,Dalelganj,Rural,35.5,5.9,19.5,100,0
Bhojpur,Parura Rampur,Rural,43,1.6,10.7,98.8,0.5
Bhojpur,Kusra,Rural,18.5,1.2,7.5,100,0
Bhojpur,Parura,Rural,39.9,0.2,11.9,99.2,0.8
Bhojpur,Deoar,Rural,50.8,0,6,98.4,1.2
Bhojpur,Akhgaon,Rural,31.5,0.5,39.4,96.6,2.3
Bhojpur,Partappur,Rural,49.7,0.3,45.3,100,0
Bhojpur,Kholpur,Rural,32,0,15.7,99.1,0.9
Bhojpur,Dehri,Rural,19.6,0.4,4.3,100,0
Bhojpur,Bardiha,Rural,27.7,0,1.4,99.5,0
Bhojpur,Jamuaon,Rural,23.1,0.3,11.7,99.6,0.3
Bhojpur,Udaibhanpur,Rural,37.5,0,0,100,0
Bhojpur,Bara,Rural,22.3,0,18.5,100,0
Bhojpur,Bartiar,Rural,29.8,0.3,7.9,99,0
Bhojpur,Kosdihra,Rural,21.6,0,13.5,100,0
Bhojpur,Kori,Rural,53.3,1.1,6.7,99.4,0.4
Bhojpur,Baranhpur,Rural,13,0,4.3,100,0
Bhojpur,Khandaul,Rural,14.5,4.3,16.1,99.8,0.1
Bhojpur,Phulari,Rural,28.9,3,28.7,98.4,0.7
Bhojpur,Bhatauli,Rural,41.1,4.8,14.9,96.6,0.7
Bhojpur,Raman Sanrh,Rural,38.9,0.1,12.4,99.4,0
Bhojpur,Patkhaulia,Rural,24.7,0,10.8,100,0
Bhojpur,Pinjroi,Rural,49.6,0.9,3.5,100,0
Bhojpur,Ahiman Chak,Rural,33.3,1.5,8.3,100,0
Bhojpur,Baga,Rural,5.6,0.4,13.7,99.4,0
Bhojpur,Bhikham Chak,Rural,12.5,0,0,100,0
Bhojpur,Sub-Dist - Shahpur,Total,33.9,6.8,18.3,97.6,0.9
Bhojpur,Sub-Dist - Shahpur,Rural,33,5.2,17.5,97.9,0.7
Bhojpur,Sub-Dist - Shahpur,Urban,43,23,26.4,94.9,3.4
Bhojpur,Isharpura,Rural,64.1,0.7,14.4,100,0
Bhojpur,Milki Gopalpur,Rural,49.1,7.9,5.1,99.1,0.9
Bhojpur,Mansinghpur,Rural,5.3,0,1.1,98.9,1.1
Bhojpur,Bhimpatti,Rural,6.5,0.3,5.9,94.1,0.3
Bhojpur,Dharmangatpur,Rural,12.9,0.4,8.2,98.9,0.4
Bhojpur,Dhiratpura,Rural,64.3,0.9,25,100,0
Bhojpur,Dilmanpur,Rural,26.6,0,4.7,99,0
Bhojpur,Bansipur,Rural,85.4,0,0.7,96,3.3
Bhojpur,Mahuar Inglish,Rural,25.6,7.1,20.3,98.9,0.8
Bhojpur,Deomalpur,Rural,27.1,3.5,20.4,92.5,0.4
Bhojpur,Karanpura,Rural,0,0,0,100,0
Bhojpur,Sarna,Rural,40.9,20.7,31.2,97.1,1.8
Bhojpur,Tikthi,Rural,29.5,0.5,13.7,99.5,0
Bhojpur,Lashkara,Rural,21.5,0,11.1,100,0
Bhojpur,Bharauli,Rural,20.9,3.1,26.5,99.7,0.1
Bhojpur,Ramdatahi,Rural,35.9,3.8,16,99.3,0.5
Bhojpur,Khutaha,Rural,24.9,1.9,11.4,96.4,2.8
Bhojpur,Karnamenpur,Rural,37.3,10,20.1,96.4,3.6
Bhojpur,Ramchandar Semaria,Rural,73.8,0.5,26.2,98.8,0
Bhojpur,Parsonda,Rural,28.5,4.2,3.5,98.7,0
Bhojpur,Sonbarsa,Rural,47.6,4.8,23.4,99.7,0
Bhojpur,Sonki,Rural,28.6,21.7,22.4,100,0
Bhojpur,Suhiya,Rural,35,7,17.7,99.4,0.6
Bhojpur,Harkhi Pipra,Rural,28.2,0,4.6,99.1,0
Bhojpur,Lilari,Rural,36.2,0.6,25.8,98.8,0
Bhojpur,Sahjauli,Rural,40.1,24.8,22.6,97.8,0.9
Bhojpur,Domariya,Rural,59.2,32.7,34.1,98.7,0
Bhojpur,Maharaja,Rural,60.7,18.1,38.1,98.9,0
Bhojpur,Misrauliya,Rural,75.2,0.8,23.3,99.2,0
Bhojpur,Semariya Palti Ojha,Rural,18.7,0.4,9.9,95.7,3.7
Bhojpur,Panrepur,Rural,91.5,0,55.9,100,0
Bhojpur,Barsaun,Rural,43,5.7,32.4,99.5,0.2
Bhojpur,Bahoranpur Dakhinwar,Rural,32.5,3.7,10.5,98.3,1.7
Bhojpur,Barmhapa,Rural,2.8,0,8.5,100,0
Bhojpur,Gobindpur,Rural,3,3,3,99,1
Bhojpur,Chamarpur,Rural,16.2,15.2,17.6,100,0
Bhojpur,Lachhmanpur,Rural,14.7,0,3,99.5,0.5
Bhojpur,Khagraha,Rural,41.2,2.8,12.3,97.9,0.2
Bhojpur,Tikapur,Rural,31.4,0.2,3.7,99.5,0
Bhojpur,Gaura,Rural,60.6,0.2,15.1,99.4,0
Bhojpur,Bimari,Rural,28.6,1.9,14.1,100,0
Bhojpur,Karja,Rural,41.5,0.4,10.5,99.8,0
Bhojpur,Parariya,Rural,10.2,0,13.2,94.1,3.4
Bhojpur,Paharpur,Rural,17.8,3.1,20.9,99,0
Bhojpur,Char Ghat,Rural,15.1,2.8,6.9,99.1,0.2
Bhojpur,Chanchar,Rural,51.6,0.5,24.7,98.4,1.6
Bhojpur,Ramdihra,Rural,9,0,22.9,100,0
Bhojpur,Jhaua,Rural,23.6,7.3,26.6,98.4,0.8
Bhojpur,Pakri,Rural,26.1,0.8,9.6,100,0
Bhojpur,Dumariya,Rural,25.4,2.4,16,99.2,0.6
Bhojpur,Raksaur,Rural,51.9,0,14.8,100,0
Bhojpur,Dhauri,Rural,1.3,26.5,33.2,100,0
Bhojpur,Bhim Patti,Rural,35.8,0,27.2,100,0
Bhojpur,Kharaun,Rural,44.5,5,30,99.6,0.4
Bhojpur,Keotiya,Rural,33.3,0,45.6,100,0
Bhojpur,Chanda,Rural,44.2,0,40,99.3,0.4
Bhojpur,Abatana,Rural,40.6,0,27.5,98.6,1.4
Bhojpur,Garaya,Rural,31.9,0,13,99.5,0.5
Bhojpur,Dewaich Kundi,Rural,2.1,0,0,100,0
Bhojpur,Nargada,Rural,75.5,7.5,14,96,4
Bhojpur,Hariharpur,Rural,13.2,1.3,4.8,100,0
Bhojpur,Dudh Ghat,Rural,28.3,0,9.1,100,0
Bhojpur,Gashainpur,Rural,46,28,28.7,100,0
Bhojpur,Randa Dih,Rural,18.7,0,3.5,97.7,0
Bhojpur,Belauthi,Rural,45.3,14.1,24.7,98.2,1.4
Bhojpur,Bishunpur,Rural,0,0,1.8,100,0
Bhojpur,Pursotampur     (Ditto),Rural,18.6,1.7,3.4,98.3,0
Bhojpur,Damodarpur      (Ditto),Rural,28.4,0.9,13.3,89.9,0.5
Bhojpur,Jawania         (Ditto),Rural,12.6,12.6,2,90.1,4.6
Bhojpur,Sarangpur       (Ditto),Rural,33,0,2,99,0
Bhojpur,Lachatola Bersingha (Ditto),Rural,16,1.2,3.9,99.7,0
Bhojpur,ChakkiNaurangaOjhwaliaDiara,Rural,8.3,0,0,98.2,0
Bhojpur,Parsotimpur         (Ditto),Rural,23.3,0,15.8,100,0
Bhojpur,Sonbarsa Diar       (Ditto),Rural,80,0,0,60,0
Bhojpur,Salempur Diara    (Ditto),Rural,0,0,0,0,0
Bhojpur,Ram Dayal Ka Dera (Ditto),Rural,42.1,15.8,36.8,100,0
Bhojpur,Mirchaiya Ka Dera (Ditto),Rural,16.5,0.5,2.1,92.8,1
Bhojpur,Lalu Ahir Ka Dera (Ditto),Rural,38.2,0.4,3.5,100,0
Bhojpur,LachhmiAhirKaDera (Ditto),Rural,59,0,6,100,0
Bhojpur,Kadam Ka Dera     (Ditto),Rural,64.6,4.6,46.2,100,0
Bhojpur,Nandlal Ka Dera   (Ditto),Rural,39.4,0,24.2,100,0
Bhojpur,Kariman ThakurKaDera (Ditto),Rural,61.8,0,32.6,97.8,2.2
Bhojpur,Pachkauri Ka Dera (Ditto),Rural,7.9,0,10.5,71.1,0
Bhojpur,Tapsi Ka Dera     (Ditto),Rural,67.4,0,0,97.7,2.3
Bhojpur,Madhopur          (Ditto),Rural,10,0,4.3,98.6,1.4
Bhojpur,Saiya Ka Dera     (Ditto),Rural,1.1,3.4,9,100,0
Bhojpur,Ram Karhi          (Ditto),Rural,12.4,0,0,100,0
Bhojpur,Suremarpur        (Ditto),Rural,25.2,0,12.2,100,0
Bhojpur,Shahpur (NP),Urban,43,23,26.4,94.9,3.4
Bhojpur,Shahpur (NP) - Ward No.1,Urban,32.4,23.4,18.3,85.3,12.6
Bhojpur,Shahpur (NP) - Ward No.2,Urban,50.3,31.8,31.5,91.3,8.7
Bhojpur,Shahpur (NP) - Ward No.3,Urban,34.3,17.5,48.9,98.5,0.7
Bhojpur,Shahpur (NP) - Ward No.4,Urban,49.3,0.9,12.3,97.8,2.2
Bhojpur,Shahpur (NP) - Ward No.5,Urban,42.9,36.6,34.8,99.6,0.4
Bhojpur,Shahpur (NP) - Ward No.6,Urban,24.1,17.2,23.3,97.4,2.6
Bhojpur,Shahpur (NP) - Ward No.7,Urban,26.7,7.3,7.3,99.7,0
Bhojpur,Shahpur (NP) - Ward No.8,Urban,67.2,30.8,26.8,98.3,0.3
Bhojpur,Shahpur (NP) - Ward No.9,Urban,58,22.7,34.1,94.3,1.7
Bhojpur,Shahpur (NP) - Ward No.10,Urban,27,18,20.9,97.2,1.9
Bhojpur,Shahpur (NP) - Ward No.11,Urban,60.1,45.2,34.3,85.9,4.4
Bhojpur,Sub-Dist - Tarari,Total,31,1.7,11,98.6,0.7
Bhojpur,Sub-Dist - Tarari,Rural,31,1.7,11,98.6,0.7
Bhojpur,Sedha,Rural,27.5,2.1,4,98.2,1
Bhojpur,Beldehri,Rural,7.6,1.8,8.2,98.2,1.8
Bhojpur,Ramnagar,Rural,25.7,0.3,13.2,99.3,0
Bhojpur,Baghsanda,Rural,41.3,0.5,4.8,99.5,0
Bhojpur,Gopalpur,Rural,20,0,11.7,93.3,6.7
Bhojpur,Bipan Dih,Rural,14.6,0,25,100,0
Bhojpur,Amaharua,Rural,21.8,0.5,7.3,100,0
Bhojpur,Kusdehra,Rural,69.6,1.8,69.6,98.2,1.8
Bhojpur,Gaharua,Rural,10.9,3.3,6.3,98.7,0.4
Bhojpur,Hardiya,Rural,14.2,1.9,7.6,100,0
Bhojpur,Jethwar Bhat,Rural,25.9,1.4,7.7,98.3,1
Bhojpur,Burhi Jethwar,Rural,21.2,0,13.5,100,0
Bhojpur,Itman,Rural,0,0,0,100,0
Bhojpur,Kusumhi,Rural,38.4,1.9,4.3,99.1,0.9
Bhojpur,Karma  Misir,Rural,0,3,3.7,96.3,2.2
Bhojpur,Gudan Dih,Rural,2.1,2.1,8.3,97.9,0
Bhojpur,Malwe,Rural,35.5,0,15,97.2,2.8
Bhojpur,Hurrua,Rural,16.7,2.9,1,100,0
Bhojpur,Parasiya,Rural,34.7,0,6.9,100,0
Bhojpur,Parariya,Rural,28.2,0,2.6,98.3,1.7
